Salary From,-,Salary to,Employer,Employee Contribution
0 ,-,10 ,0 ,0 
10 ,-,20 ,3 ,3 
20 ,-,40 ,6 ,5 
40 ,-,60 ,8 ,7 
60 ,-,80 ,11 ,9 
80 ,-,100 ,13 ,11 
100 ,-,120 ,16 ,14 
120 ,-,140 ,19 ,16 
140 ,-,160 ,21 ,18 
160 ,-,180 ,24 ,20 
180 ,-,200 ,26 ,22 
200 ,-,220 ,29 ,25 
220 ,-,240 ,32 ,27 
240 ,-,260 ,34 ,29 
260 ,-,280 ,37 ,31 
280 ,-,300 ,39 ,33 
300 ,-,320 ,42 ,36 
320 ,-,340 ,45 ,38 
340 ,-,360 ,47 ,40 
360 ,-,380 ,50 ,42 
380 ,-,400 ,52 ,44 
400 ,-,420 ,55 ,47 
420 ,-,440 ,58 ,49 
440 ,-,460 ,60 ,51 
460 ,-,480 ,63 ,53 
480 ,-,500 ,65 ,55 
500 ,-,520 ,68 ,58 
520 ,-,540 ,71 ,60 
540 ,-,560 ,73 ,62 
560 ,-,580 ,76 ,64 
580 ,-,600 ,78 ,66 
600 ,-,620 ,81 ,69 
620 ,-,640 ,84 ,71 
640 ,-,660 ,86 ,73 
660 ,-,680 ,89 ,75 
680 ,-,700 ,91 ,77 
700 ,-,720 ,94 ,80 
720 ,-,740 ,97 ,82 
740 ,-,760 ,99 ,84 
760 ,-,780 ,102 ,86 
780 ,-,800 ,104 ,88 
800 ,-,820 ,107 ,91 
820 ,-,840 ,110 ,93 
840 ,-,860 ,112 ,95 
860 ,-,880 ,115 ,97 
880 ,-,900 ,117 ,99 
900 ,-,920 ,120 ,102 
920 ,-,940 ,123 ,104 
940 ,-,960 ,125 ,106 
960 ,-,980 ,128 ,108 
980 ,-,1000 ,130 ,110 
1000 ,-,1020 ,133 ,113 
1020 ,-,1040 ,136 ,115 
1040 ,-,1060 ,138 ,117 
1060 ,-,1080 ,141 ,119 
1080 ,-,1100 ,143 ,121 
1100 ,-,1120 ,146 ,124 
1120 ,-,1140 ,149 ,126 
1140 ,-,1160 ,151 ,128 
1160 ,-,1180 ,154 ,130 
1180 ,-,1200 ,156 ,132 
1200 ,-,1220 ,159 ,135 
1220 ,-,1240 ,162 ,137 
1240 ,-,1260 ,164 ,139 
1260 ,-,1280 ,167 ,141 
1280 ,-,1300 ,169 ,143 
1300 ,-,1320 ,172 ,146 
1320 ,-,1340 ,175 ,148 
1340 ,-,1360 ,177 ,150 
1360 ,-,1380 ,180 ,152 
1380 ,-,1400 ,182 ,154 
1400 ,-,1420 ,185 ,157 
1420 ,-,1440 ,188 ,159 
1440 ,-,1460 ,190 ,161 
1460 ,-,1480 ,193 ,163 
1480 ,-,1500 ,195 ,165 
1500 ,-,1520 ,198 ,168 
1520 ,-,1540 ,201 ,170 
1540 ,-,1560 ,203 ,172 
1560 ,-,1580 ,206 ,174 
1580 ,-,1600 ,208 ,176 
1600 ,-,1620 ,211 ,179 
1620 ,-,1640 ,214 ,181 
1640 ,-,1660 ,216 ,183 
1660 ,-,1680 ,219 ,185 
1680 ,-,1700 ,221 ,187 
1700 ,-,1720 ,224 ,190 
1720 ,-,1740 ,227 ,192 
1740 ,-,1760 ,229 ,194 
1760 ,-,1780 ,232 ,196 
1780 ,-,1800 ,234 ,198 
1800 ,-,1820 ,237 ,201 
1820 ,-,1840 ,240 ,203 
1840 ,-,1860 ,242 ,205 
1860 ,-,1880 ,245 ,207 
1880 ,-,1900 ,247 ,209 
1900 ,-,1920 ,250 ,212 
1920 ,-,1940 ,253 ,214 
1940 ,-,1960 ,255 ,216 
1960 ,-,1980 ,258 ,218 
1980 ,-,2000 ,260 ,220 
2000 ,-,2020 ,263 ,223 
2020 ,-,2040 ,266 ,225 
2040 ,-,2060 ,268 ,227 
2060 ,-,2080 ,271 ,229 
2080 ,-,2100 ,273 ,231 
2100 ,-,2120 ,276 ,234 
2120 ,-,2140 ,279 ,236 
2140 ,-,2160 ,281 ,238 
2160 ,-,2180 ,284 ,240 
2180 ,-,2200 ,286 ,242 
2200 ,-,2220 ,289 ,245 
2220 ,-,2240 ,292 ,247 
2240 ,-,2260 ,294 ,249 
2260 ,-,2280 ,297 ,251 
2280 ,-,2300 ,299 ,253 
2300 ,-,2320 ,302 ,256 
2320 ,-,2340 ,305 ,258 
2340 ,-,2360 ,307 ,260 
2360 ,-,2380 ,310 ,262 
2380 ,-,2400 ,312 ,264 
2400 ,-,2420 ,315 ,267 
2420 ,-,2440 ,318 ,269 
2440 ,-,2460 ,320 ,271 
2460 ,-,2480 ,323 ,273 
2480 ,-,2500 ,325 ,275 
2500 ,-,2520 ,328 ,278 
2520 ,-,2540 ,331 ,280 
2540 ,-,2560 ,333 ,282 
2560 ,-,2580 ,336 ,284 
2580 ,-,2600 ,338 ,286 
2600 ,-,2620 ,341 ,289 
2620 ,-,2640 ,344 ,291 
2640 ,-,2660 ,346 ,293 
2660 ,-,2680 ,349 ,295 
2680 ,-,2700 ,351 ,297 
2700 ,-,2720 ,354 ,300 
2720 ,-,2740 ,357 ,302 
2740 ,-,2760 ,359 ,304 
2760 ,-,2780 ,362 ,306 
