Salary From,,Salary to,Employer,Employee Contribution
0.01,-,10.00,0,0
10.01,-,20.00,5.00,2.00
20.01,-,40.00,5.00,3.00
40.01,-,60.00,5.00,4.00
60.01,-,80.00,5.00,5.00
80.01,-,100.00,5.00,6.00
100.01,-,120.00,5.00,7.00
120.01,-,140.00,5.00,8.00
140.01,-,160.00,5.00,9.00
160.01,-,180.00,5.00,10.00
180.01,-,200.00,5.00,11.00
200.01,-,220.00,5.00,13.00
220.01,-,240.00,5.00,14.00
240.01,-,260.00,5.00,15.00
260.01,-,280.00,5.00,16.00
280.01,-,300.00,5.00,17.00
300.01,-,320.00,5.00,18.00
320.01,-,340.00,5.00,19.00
340.01,-,360.00,5.00,20.00
360.01,-,380.00,5.00,21.00
380.01,-,400.00,5.00,22.00
400.01,-,420.00,5.00,24.00
420.01,-,440.00,5.00,25.00
440.01,-,460.00,5.00,26.00
460.01,-,480.00,5.00,27.00
480.01,-,500.00,5.00,28.00
500.01,-,520.00,5.00,29.00
520.01,-,540.00,5.00,30.00
540.01,-,560.00,5.00,31.00
560.01,-,580.00,5.00,32.00
580.01,-,600.00,5.00,33.00
600.01,-,620.00,5.00,35.00
620.01,-,640.00,5.00,36.00
640.01,-,660.00,5.00,37.00
660.01,-,680.00,5.00,38.00
680.01,-,700.00,5.00,39.00
700.01,-,720.00,5.00,40.00
720.01,-,740.00,5.00,41.00
740.01,-,760.00,5.00,42.00
760.01,-,780.00,5.00,43.00
780.01,-,800.00,5.00,44.00
800.01,-,820.00,5.00,46.00
820.01,-,840.00,5.00,47.00
840.01,-,860.00,5.00,48.00
860.01,-,880.00,5.00,49.00
880.01,-,900.00,5.00,50.00
900.01,-,920.00,5.00,51.00
920.01,-,940.00,5.00,52.00
940.01,-,960.00,5.00,53.00
960.01,-,980.00,5.00,54.00
980.01,-,"1,000.00",5.00,55.00
"1,000.01",-,"1,020.00",5.00,57.00
"1,020.01",-,"1,040.00",5.00,58.00
"1,040.01",-,"1,060.00",5.00,59.00
"1,060.01",-,"1,080.00",5.00,60.00
"1,080.01",-,"1,100.00",5.00,61.00
"1,100.01",-,"1,120.00",5.00,62.00
"1,120.01",-,"1,140.00",5.00,63.00
"1,140.01",-,"1,160.00",5.00,64.00
"1,160.01",-,"1,180.00",5.00,65.00
"1,180.01",-,"1,200.00",5.00,66.00
"1,200.01",-,"1,220.00",5.00,68.00
"1,220.01",-,"1,240.00",5.00,69.00
"1,240.01",-,"1,260.00",5.00,70.00
"1,260.01",-,"1,280.00",5.00,71.00
"1,280.01",-,"1,300.00",5.00,72.00
"1,300.01",-,"1,320.00",5.00,73.00
"1,320.01",-,"1,340.00",5.00,74.00
"1,340.01",-,"1,360.00",5.00,75.00
"1,360.01",-,"1,380.00",5.00,76.00
"1,380.01",-,"1,400.00",5.00,77.00
"1,400.01",-,"1,420.00",5.00,79.00
"1,420.01",-,"1,440.00",5.00,80.00
"1,440.01",-,"1,460.00",5.00,81.00
"1,460.01",-,"1,480.00",5.00,82.00
"1,480.01",-,"1,500.00",5.00,83.00
"1,500.01",-,"1,520.00",5.00,84.00
"1,520.01",-,"1,540.00",5.00,85.00
"1,540.01",-,"1,560.00",5.00,86.00
"1,560.01",-,"1,580.00",5.00,87.00
"1,580.01",-,"1,600.00",5.00,88.00
"1,600.01",-,"1,620.00",5.00,90.00
"1,620.01",-,"1,640.00",5.00,91.00
"1,640.01",-,"1,660.00",5.00,92.00
"1,660.01",-,"1,680.00",5.00,93.00
"1,680.01",-,"1,700.00",5.00,94.00
"1,700.01",-,"1,720.00",5.00,95.00
"1,720.01",-,"1,740.00",5.00,96.00
"1,740.01",-,"1,760.00",5.00,97.00
"1,760.01",-,"1,780.00",5.00,98.00
"1,780.01",-,"1,800.00",5.00,99.00
"1,800.01",-,"1,820.00",5.00,101.00
"1,820.01",-,"1,840.00",5.00,102.00
"1,840.01",-,"1,860.00",5.00,103.00
"1,860.01",-,"1,880.00",5.00,104.00
"1,880.01",-,"1,900.00",5.00,105.00
"1,900.01",-,"1,920.00",5.00,106.00
"1,920.01",-,"1,940.00",5.00,107.00
"1,940.01",-,"1,960.00",5.00,108.00
"1,960.01",-,"1,980.00",5.00,109.00
"1,980.01",-,"2,000.00",5.00,110.00
"2,000.01",-,"2,020.00",5.00,112.00
"2,020.01",-,"2,040.00",5.00,113.00
"2,040.01",-,"2,060.00",5.00,114.00
"2,060.01",-,"2,080.00",5.00,115.00
"2,080.01",-,"2,100.00",5.00,116.00
"2,100.01",-,"2,120.00",5.00,117.00
"2,120.01",-,"2,140.00",5.00,118.00
"2,140.01",-,"2,160.00",5.00,119.00
"2,160.01",-,"2,180.00",5.00,120.00
"2,180.01",-,"2,200.00",5.00,121.00
"2,200.01",-,"2,220.00",5.00,123.00
"2,220.01",-,"2,240.00",5.00,124.00
"2,240.01",-,"2,260.00",5.00,125.00
"2,260.01",-,"2,280.00",5.00,126.00
"2,280.01",-,"2,300.00",5.00,127.00
"2,300.01",-,"2,320.00",5.00,128.00
"2,320.01",-,"2,340.00",5.00,129.00
"2,340.01",-,"2,360.00",5.00,130.00
"2,360.01",-,"2,380.00",5.00,131.00
"2,380.01",-,"2,400.00",5.00,132.00
"2,400.01",-,"2,420.00",5.00,134.00
"2,420.01",-,"2,440.00",5.00,135.00
"2,440.01",-,"2,460.00",5.00,136.00
"2,460.01",-,"2,480.00",5.00,137.00
"2,480.01",-,"2,500.00",5.00,138.00
"2,500.01",-,"2,520.00",5.00,139.00
"2,520.01",-,"2,540.00",5.00,140.00
"2,540.01",-,"2,560.00",5.00,141.00
"2,560.01",-,"2,580.00",5.00,142.00
"2,580.01",-,"2,600.00",5.00,143.00
"2,600.01",-,"2,620.00",5.00,145.00
"2,620.01",-,"2,640.00",5.00,146.00
"2,640.01",-,"2,660.00",5.00,147.00
"2,660.01",-,"2,680.00",5.00,148.00
"2,680.01",-,"2,700.00",5.00,149.00
"2,700.01",-,"2,720.00",5.00,150.00
"2,720.01",-,"2,740.00",5.00,151.00
"2,740.01",-,"2,760.00",5.00,152.00
"2,760.01",-,"2,780.00",5.00,153.00
"2,780.01",-,"2,800.00",5.00,154.00
"2,800.01",-,"2,820.00",5.00,156.00
"2,820.01",-,"2,840.00",5.00,157.00
"2,840.01",-,"2,860.00",5.00,158.00
"2,860.01",-,"2,880.00",5.00,159.00
"2,880.01",-,"2,900.00",5.00,160.00
"2,900.01",-,"2,920.00",5.00,161.00
"2,920.01",-,"2,940.00",5.00,162.00
"2,940.01",-,"2,960.00",5.00,163.00
"2,960.01",-,"2,980.00",5.00,164.00
"2,980.01",-,"3,000.00",5.00,165.00
"3,000.01",-,"3,020.00",5.00,167.00
"3,020.01",-,"3,040.00",5.00,168.00
"3,040.01",-,"3,060.00",5.00,169.00
"3,060.01",-,"3,080.00",5.00,170.00
"3,080.01",-,"3,100.00",5.00,171.00
"3,100.01",-,"3,120.00",5.00,172.00
"3,120.01",-,"3,140.00",5.00,173.00
"3,140.01",-,"3,160.00",5.00,174.00
"3,160.01",-,"3,180.00",5.00,175.00
"3,180.01",-,"3,200.00",5.00,176.00
"3,200.01",-,"3,220.00",5.00,178.00
"3,220.01",-,"3,240.00",5.00,179.00
"3,240.01",-,"3,260.00",5.00,180.00
"3,260.01",-,"3,280.00",5.00,181.00
"3,280.01",-,"3,300.00",5.00,182.00
"3,300.01",-,"3,320.00",5.00,183.00
"3,320.01",-,"3,340.00",5.00,184.00
"3,340.01",-,"3,360.00",5.00,185.00
"3,360.01",-,"3,380.00",5.00,186.00
"3,380.01",-,"3,400.00",5.00,187.00
"3,400.01",-,"3,420.00",5.00,189.00
"3,420.01",-,"3,440.00",5.00,190.00
"3,440.01",-,"3,460.00",5.00,191.00
"3,460.01",-,"3,480.00",5.00,192.00
"3,480.01",-,"3,500.00",5.00,193.00
"3,500.01",-,"3,520.00",5.00,194.00
"3,520.01",-,"3,540.00",5.00,195.00
"3,540.01",-,"3,560.00",5.00,196.00
"3,560.01",-,"3,580.00",5.00,197.00
"3,580.01",-,"3,600.00",5.00,198.00
"3,600.01",-,"3,620.00",5.00,200.00
"3,620.01",-,"3,640.00",5.00,201.00
"3,640.01",-,"3,660.00",5.00,202.00
"3,660.01",-,"3,680.00",5.00,203.00
"3,680.01",-,"3,700.00",5.00,204.00
"3,700.01",-,"3,720.00",5.00,205.00
"3,720.01",-,"3,740.00",5.00,206.00
"3,740.01",-,"3,760.00",5.00,207.00
"3,760.01",-,"3,780.00",5.00,208.00
"3,780.01",-,"3,800.00",5.00,209.00
"3,800.01",-,"3,820.00",5.00,211.00
"3,820.01",-,"3,840.00",5.00,212.00
"3,840.01",-,"3,860.00",5.00,213.00
"3,860.01",-,"3,880.00",5.00,214.00
"3,880.01",-,"3,900.00",5.00,215.00
"3,900.01",-,"3,920.00",5.00,216.00
"3,920.01",-,"3,940.00",5.00,217.00
"3,940.01",-,"3,960.00",5.00,218.00
"3,960.01",-,"3,980.00",5.00,219.00
"3,980.01",-,"4,000.00",5.00,220.00
"4,000.01",-,"4,020.00",5.00,222.00
"4,020.01",-,"4,040.00",5.00,223.00
"4,040.01",-,"4,060.00",5.00,224.00
"4,060.01",-,"4,080.00",5.00,225.00
