Salary From,,Salary To,Single,Married/Spouse Not Working 0 K,Married/Spouse Not Working 0 K1,Married/Spouse Not Working 0 K2,Married/Spouse Not Working 0 K3,Married/Spouse Not Working 0 K4,Married/Spouse Not Working 0 K5,Married/Spouse Not Working 0 K6,Married/Spouse Not Working 0 K7,Married/Spouse Not Working 0 K8,Married/Spouse Not Working 0 K9,Married/Spouse Not Working 0 K10,Married/Spouse Working 0 K,Married/Spouse Working 0 K1,Married/Spouse Working 0 K2,Married/Spouse Working 0 K3,Married/Spouse Working 0 K4,Married/Spouse Working 0 K5,Married/Spouse Working 0 K6,Married/Spouse Working 0 K7,Married/Spouse Working 0 K8,Married/Spouse Working 0 K9,Married/Spouse Working 0 K10
3141,-,3145,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3146,-,3150,1.15,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0
3151,-,3155,1.3,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0
3156,-,3160,1.45,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0
3161,-,3165,1.6,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0
3166,-,3170,1.75,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0
3171,-,3175,1.9,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0
3176,-,3180,2.05,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0
3181,-,3185,2.2,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0
3186,-,3190,2.35,0,0,0,0,0,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0
3191,-,3195,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0
3196,-,3200,2.65,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0,0,0,0,0,0
3201,-,3205,2.8,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0
3206,-,3210,2.95,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0
3211,-,3215,3.1,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0
3216,-,3220,3.25,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0
3221,-,3225,3.4,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0
3226,-,3230,3.55,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0
3231,-,3235,3.7,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0
3236,-,3240,3.85,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0
3241,-,3245,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
3246,-,3250,4.15,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0
3251,-,3255,4.3,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0
3256,-,3260,4.45,0,0,0,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0
3261,-,3265,4.6,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0
3266,-,3270,4.75,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0
3271,-,3275,4.9,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0
3276,-,3280,5.05,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0
1 of 732,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumlah
Saraan Bersih
Bulanan",,,,,,,,,,,,,"POTONGAN CUKAI BULANAN
MONTHLY TAX DEDUCTIONS",,,,,,,,,,,,
Total,,,"Kategori
1",,,,,,"Kategori 2
Category 2",,,,,,,,,,,,,,,,
"Monthly Net
Remuneration",,,"Category
1",,,,,"Jika isteri/suami tidak bekerja
Where wife/husband is not working",,,,,,,,,,,,,,,,,
,,,B,K,KA1,KA2,KA3,KA4,KA5,KA6,KA7,KA8,KA9,KA10,K,KA1,KA2,KA3,KA4,KA5,KA6,KA7,KA8,KA9,KA10
RM,,,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM
3281,-,3285,5.2,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0
3286,-,3290,5.35,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0
3291,-,3295,5.5,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0
3296,-,3300,5.65,0,0,0,0,0,0,0,0,0,0,0,5.65,0,0,0,0,0,0,0,0,0,0
3301,-,3305,5.8,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0
3306,-,3310,5.95,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0
3311,-,3315,6.1,0,0,0,0,0,0,0,0,0,0,0,6.1,1.1,0,0,0,0,0,0,0,0,0
3316,-,3320,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,1.25,0,0,0,0,0,0,0,0,0
3321,-,3325,6.4,0,0,0,0,0,0,0,0,0,0,0,6.4,1.4,0,0,0,0,0,0,0,0,0
3326,-,3330,6.55,0,0,0,0,0,0,0,0,0,0,0,6.55,1.55,0,0,0,0,0,0,0,0,0
3331,-,3335,6.7,0,0,0,0,0,0,0,0,0,0,0,6.7,1.7,0,0,0,0,0,0,0,0,0
3336,-,3340,6.85,0,0,0,0,0,0,0,0,0,0,0,6.85,1.85,0,0,0,0,0,0,0,0,0
3341,-,3345,7,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0
3346,-,3350,7.15,0,0,0,0,0,0,0,0,0,0,0,7.15,2.15,0,0,0,0,0,0,0,0,0
3351,-,3355,7.3,0,0,0,0,0,0,0,0,0,0,0,7.3,2.3,0,0,0,0,0,0,0,0,0
3356,-,3360,7.45,0,0,0,0,0,0,0,0,0,0,0,7.45,2.45,0,0,0,0,0,0,0,0,0
3361,-,3365,7.6,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0,0,0,0,0,0,0,0,0
3366,-,3370,7.75,0,0,0,0,0,0,0,0,0,0,0,7.75,2.75,0,0,0,0,0,0,0,0,0
3371,-,3375,7.9,0,0,0,0,0,0,0,0,0,0,0,7.9,2.9,0,0,0,0,0,0,0,0,0
3376,-,3380,8.05,0,0,0,0,0,0,0,0,0,0,0,8.05,3.05,0,0,0,0,0,0,0,0,0
3381,-,3385,8.2,0,0,0,0,0,0,0,0,0,0,0,8.2,3.2,0,0,0,0,0,0,0,0,0
3386,-,3390,8.35,0,0,0,0,0,0,0,0,0,0,0,8.35,3.35,0,0,0,0,0,0,0,0,0
3391,-,3395,8.5,0,0,0,0,0,0,0,0,0,0,0,8.5,3.5,0,0,0,0,0,0,0,0,0
3396,-,3400,8.65,0,0,0,0,0,0,0,0,0,0,0,8.65,3.65,0,0,0,0,0,0,0,0,0
3401,-,3405,8.8,0,0,0,0,0,0,0,0,0,0,0,8.8,3.8,0,0,0,0,0,0,0,0,0
3406,-,3410,8.95,0,0,0,0,0,0,0,0,0,0,0,8.95,3.95,0,0,0,0,0,0,0,0,0
3411,-,3415,9.1,0,0,0,0,0,0,0,0,0,0,0,9.1,4.1,0,0,0,0,0,0,0,0,0
3416,-,3420,9.25,0,0,0,0,0,0,0,0,0,0,0,9.25,4.25,0,0,0,0,0,0,0,0,0
3421,-,3425,9.4,0,0,0,0,0,0,0,0,0,0,0,9.4,4.4,0,0,0,0,0,0,0,0,0
3426,-,3430,9.55,0,0,0,0,0,0,0,0,0,0,0,9.55,4.55,0,0,0,0,0,0,0,0,0
3431,-,3435,9.7,0,0,0,0,0,0,0,0,0,0,0,9.7,4.7,0,0,0,0,0,0,0,0,0
3436,-,3440,9.85,0,0,0,0,0,0,0,0,0,0,0,9.85,4.85,0,0,0,0,0,0,0,0,0
3441,-,3445,10,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0
3446,-,3450,10.15,0,0,0,0,0,0,0,0,0,0,0,10.15,5.15,0,0,0,0,0,0,0,0,0
3451,-,3455,10.3,0,0,0,0,0,0,0,0,0,0,0,10.3,5.3,0,0,0,0,0,0,0,0,0
3456,-,3460,10.45,0,0,0,0,0,0,0,0,0,0,0,10.45,5.45,0,0,0,0,0,0,0,0,0
3461,-,3465,10.6,0,0,0,0,0,0,0,0,0,0,0,10.6,5.6,0,0,0,0,0,0,0,0,0
3466,-,3470,10.75,0,0,0,0,0,0,0,0,0,0,0,10.75,5.75,0,0,0,0,0,0,0,0,0
3471,-,3475,10.9,0,0,0,0,0,0,0,0,0,0,0,10.9,5.9,0,0,0,0,0,0,0,0,0
3476,-,3480,11.05,0,0,0,0,0,0,0,0,0,0,0,11.05,6.05,1.05,0,0,0,0,0,0,0,0
3481,-,3485,11.2,0,0,0,0,0,0,0,0,0,0,0,11.2,6.2,1.2,0,0,0,0,0,0,0,0
3486,-,3490,11.35,0,0,0,0,0,0,0,0,0,0,0,11.35,6.35,1.35,0,0,0,0,0,0,0,0
3491,-,3495,11.5,0,0,0,0,0,0,0,0,0,0,0,11.5,6.5,1.5,0,0,0,0,0,0,0,0
3496,-,3500,11.65,0,0,0,0,0,0,0,0,0,0,0,11.65,6.65,1.65,0,0,0,0,0,0,0,0
3501,-,3505,11.8,0,0,0,0,0,0,0,0,0,0,0,11.8,6.8,1.8,0,0,0,0,0,0,0,0
3506,-,3510,11.95,0,0,0,0,0,0,0,0,0,0,0,11.95,6.95,1.95,0,0,0,0,0,0,0,0
3511,-,3515,12.1,0,0,0,0,0,0,0,0,0,0,0,12.1,7.1,2.1,0,0,0,0,0,0,0,0
2 of 732,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumlah
Saraan Bersih
Bulanan",,,,,,,,,,,,,"POTONGAN CUKAI BULANAN
MONTHLY TAX DEDUCTIONS",,,,,,,,,,,,
Total,,,"Kategori
1",,,,,,"Kategori 2
Category 2",,,,,,,,,,,"Kategori 3
Category 3",,,,,
"Monthly Net
Remuneration",,,"Category
1",,,,,"Jika isteri/suami tidak bekerja
Where wife/husband is not working",,,,,,,,,,,"Jika isteri/suami bekerja
Where wife/husband is working",,,,,,
,,,B,K,KA1,KA2,KA3,KA4,KA5,KA6,KA7,KA8,KA9,KA10,K,KA1,KA2,KA3,KA4,KA5,KA6,KA7,KA8,KA9,KA10
RM,,,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM
3516,-,3520,12.25,0,0,0,0,0,0,0,0,0,0,0,12.25,7.25,2.25,0,0,0,0,0,0,0,0
3521,-,3525,12.4,0,0,0,0,0,0,0,0,0,0,0,12.4,7.4,2.4,0,0,0,0,0,0,0,0
3526,-,3530,12.55,0,0,0,0,0,0,0,0,0,0,0,12.55,7.55,2.55,0,0,0,0,0,0,0,0
