Salary From,,Salary To,Married/Spouse Not Working 0 K11,Married/Spouse Not Working 0 K12,Married/Spouse Not Working 0 K13,Married/Spouse Not Working 0 K14,Married/Spouse Not Working 0 K15,Married/Spouse Not Working 0 K16,Married/Spouse Not Working 0 K17,Married/Spouse Not Working 0 K18,Married/Spouse Not Working 0 K19,Married/Spouse Not Working 0 K20,Married/Spouse Working 0 K11,Married/Spouse Working 0 K12,Married/Spouse Working 0 K13,Married/Spouse Working 0 K14,Married/Spouse Working 0 K15,Married/Spouse Working 0 K16,Married/Spouse Working 0 K17,Married/Spouse Working 0 K18,Married/Spouse Working 0 K19,Married/Spouse Working 0 K20
4976,-,4980,0,0,0,0,0,0,0,0,,1.05,0,0,0,0,0,0,0,0,,0
4981,-,4985,0,0,0,0,0,0,0,0,,1.2,0,0,0,0,0,0,0,0,,0
4986,-,4990,0,0,0,0,0,0,0,0,,1.35,0,0,0,0,0,0,0,0,,0
4991,-,4995,0,0,0,0,0,0,0,0,,1.5,0,0,0,0,0,0,0,0,,0
4996,-,5000,0,0,0,0,0,0,0,0,,1.65,0,0,0,0,0,0,0,0,,0
5001,-,5005,0,0,0,0,0,0,0,0,,1.8,0,0,0,0,0,0,0,0,,0
5006,-,5010,0,0,0,0,0,0,0,0,,1.95,0,0,0,0,0,0,0,0,,0
5011,-,5015,0,0,0,0,0,0,0,0,,2.1,0,0,0,0,0,0,0,0,,0
5016,-,5020,0,0,0,0,0,0,0,0,,2.25,0,0,0,0,0,0,0,0,,0
5021,-,5025,0,0,0,0,0,0,0,0,,2.4,0,0,0,0,0,0,0,0,,0
5026,-,5030,0,0,0,0,0,0,0,0,,2.55,0,0,0,0,0,0,0,0,,0
5031,-,5035,0,0,0,0,0,0,0,0,,2.7,0,0,0,0,0,0,0,0,,0
5036,-,5040,0,0,0,0,0,0,0,0,,2.85,0,0,0,0,0,0,0,0,,0
5041,-,5045,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,,0
5046,-,5050,0,0,0,0,0,0,0,0,,3.15,0,0,0,0,0,0,0,0,,0
5051,-,5055,0,0,0,0,0,0,0,0,,3.3,0,0,0,0,0,0,0,0,,0
5056,-,5060,0,0,0,0,0,0,0,0,,3.45,0,0,0,0,0,0,0,0,,0
5061,-,5065,0,0,0,0,0,0,0,0,,3.6,0,0,0,0,0,0,0,0,,0
5066,-,5070,0,0,0,0,0,0,0,0,,3.75,0,0,0,0,0,0,0,0,,0
5071,-,5075,0,0,0,0,0,0,0,0,,3.9,0,0,0,0,0,0,0,0,,0
5076,-,5080,0,0,0,0,0,0,0,0,,4.05,0,0,0,0,0,0,0,0,,0
5081,-,5085,0,0,0,0,0,0,0,0,,4.2,0,0,0,0,0,0,0,0,,0
5086,-,5090,0,0,0,0,0,0,0,0,,4.35,0,0,0,0,0,0,0,0,,0
5091,-,5095,0,0,0,0,0,0,0,0,,4.5,0,0,0,0,0,0,0,0,,0
356 of 732,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,0
"Jumlah
Saraan Bersih
Bulanan",,,,,,,,,,,,"POTONGAN CUKAI BULANAN
MONTHLY TAX DEDUCTIONS",,,,,,,,,,
Total,,,,,,,,"Kategori 2
Category 2",,,,,,,,,"Kategori 3
Category 3",,,,,
"Monthly Net
Remuneration",,,,,,,"Jika isteri/suami tidak bekerja
Where wife/husband is not working",,,,,,,,,"Jika isteri/suami bekerja
Where wife/husband is working",,,,,,
,,,KA11,KA12,KA13,KA14,KA15,KA16,KA17,KA18,KA19,KA20,KA11,KA12,KA13,KA14,KA15,KA16,KA17,KA18,KA19,KA20
RM,,,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM,RM
5096,-,5100,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0
5101,-,5105,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0
5106,-,5110,0,0,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0
5111,-,5115,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0
5116,-,5120,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0
5121,-,5125,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0
5126,-,5130,0,0,0,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0
5131,-,5135,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0
5136,-,5140,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0
5141,-,5145,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
5146,-,5150,0,0,0,0,0,0,0,0,0,0,6.15,1.15,0,0,0,0,0,0,0,0
5151,-,5155,0,0,0,0,0,0,0,0,0,0,6.3,1.3,0,0,0,0,0,0,0,0
5156,-,5160,0,0,0,0,0,0,0,0,0,0,6.45,1.45,0,0,0,0,0,0,0,0
5161,-,5165,0,0,0,0,0,0,0,0,0,0,6.6,1.6,0,0,0,0,0,0,0,0
